"""Date"",""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"""Jul 14, 2017"",""161.12"",""159.30"",""161.35"",""157.97"",""5.55M"",""1.84%"""
"""Jul 13, 2017"",""158.21"",""158.51"",""160.13"",""156.98"",""6.70M"",""-0.34%"""
"""Jul 12, 2017"",""158.75"",""155.77"",""158.80"",""155.77"",""8.48M"",""2.86%"""
"""Jul 11, 2017"",""154.33"",""152.37"",""155.23"",""151.55"",""4.90M"",""1.09%"""
"""Jul 10, 2017"",""152.67"",""150.34"",""153.23"",""149.65"",""5.36M"",""1.66%"""
"""Jul 07, 2017"",""150.18"",""146.65"",""150.75"",""146.65"",""5.56M"",""2.69%"""
"""Jul 06, 2017"",""146.25"",""146.13"",""147.27"",""144.25"",""5.49M"",""-0.92%"""
"""Jul 05, 2017"",""147.61"",""146.58"",""148.26"",""145.58"",""4.63M"",""0.99%"""
"""Jul 03, 2017"",""146.17"",""149.80"",""150.45"",""145.80"",""3.91M"",""-2.17%"""
"""Jun 30, 2017"",""149.41"",""149.76"",""150.71"",""148.42"",""5.21M"",""-0.45%"""
"""Jun 29, 2017"",""150.09"",""152.82"",""152.82"",""148.00"",""7.14M"",""-2.16%"""
"""Jun 28, 2017"",""153.41"",""151.64"",""154.20"",""150.12"",""5.59M"",""1.58%"""
"""Jun 27, 2017"",""151.03"",""156.62"",""156.98"",""150.72"",""7.42M"",""-4.11%"""
"""Jun 26, 2017"",""157.50"",""158.78"",""159.97"",""156.56"",""6.02M"",""-0.33%"""
"""Jun 23, 2017"",""158.02"",""155.01"",""158.19"",""153.76"",""6.25M"",""2.02%"""
"""Jun 22, 2017"",""154.89"",""155.13"",""155.20"",""153.70"",""3.77M"",""-0.09%"""
"""Jun 21, 2017"",""155.03"",""152.50"",""155.38"",""152.26"",""5.80M"",""1.96%"""
"""Jun 20, 2017"",""152.05"",""153.68"",""154.50"",""151.40"",""4.88M"",""-0.88%"""
